column_a,code,browser,cldr_short_name
880,U+1F57A U+1F3FE,🕺🏾,man dancing: medium-dark skin tone
881,U+1F57A U+1F3FF,🕺🏿,man dancing: dark skin tone
882,U+1F46F,👯,people with bunny ears
883,U+1F46F U+200D U+2642 U+FE0F,👯‍♂️,men with bunny ears
884,U+1F46F U+200D U+2640 U+FE0F,👯‍♀️,women with bunny ears
939,U+1F6C0,🛀,person taking bath
940,U+1F6C0 U+1F3FB,🛀🏻,person taking bath: light skin tone
941,U+1F6C0 U+1F3FC,🛀🏼,person taking bath: medium-light skin tone
942,U+1F6C0 U+1F3FD,🛀🏽,person taking bath: medium skin tone
943,U+1F6C0 U+1F3FE,🛀🏾,person taking bath: medium-dark skin tone
944,U+1F6C0 U+1F3FF,🛀🏿,person taking bath: dark skin tone
945,U+1F6CC,🛌,person in bed
946,U+1F6CC U+1F3FB,🛌🏻,person in bed: light skin tone
947,U+1F6CC U+1F3FC,🛌🏼,person in bed: medium-light skin tone
948,U+1F6CC U+1F3FD,🛌🏽,person in bed: medium skin tone
949,U+1F6CC U+1F3FE,🛌🏾,person in bed: medium-dark skin tone
950,U+1F6CC U+1F3FF,🛌🏿,person in bed: dark skin tone
951,U+1F574,🕴,man in suit levitating
952,U+1F574 U+1F3FB,🕴🏻,man in suit levitating: light skin tone
953,U+1F574 U+1F3FC,🕴🏼,man in suit levitating: medium-light skin tone
954,U+1F574 U+1F3FD,🕴🏽,man in suit levitating: medium skin tone
955,U+1F574 U+1F3FE,🕴🏾,man in suit levitating: medium-dark skin tone
956,U+1F574 U+1F3FF,🕴🏿,man in suit levitating: dark skin tone
957,U+1F5E3,🗣,speaking head
958,U+1F464,👤,bust in silhouette
959,U+1F465,👥,busts in silhouette
